sep=;
feature;is_normal (shapiro);is_homogeneous (levene);p_value;is_significant;effect;result;('challenging', 'reinforcing');('challenging', 'reinforcing');('challenging', 'no_effect');('challenging', 'no_effect');('reinforcing', 'no_effect');('reinforcing', 'no_effect')
liwc_scores_analytic;False;False;0.5952639083026918;False;;;False;;False;;False;
liwc_scores_authentic;False;False;0.3182258229810055;False;;;False;;False;;False;
liwc_scores_categories_AllPunc;False;False;0.3784873202284981;False;;;False;;False;;False;
liwc_scores_categories_Apostro;False;False;0.1892847738661658;False;;;False;;False;;False;
liwc_scores_categories_Colon;False;False;0.3588057229897168;False;;;False;;False;;False;
liwc_scores_categories_Comma;True;True;0.9927548121280724;False;;F(2,218)= 0.01, p = 0.9927548, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_Dash;False;False;0.47581835002124173;False;;;False;;False;;False;
liwc_scores_categories_Exclam;False;False;0.40944162542741525;False;;;False;;same values;same values;False;
liwc_scores_categories_OtherP;False;False;0.07236322265264253;False;;;False;;False;;False;
liwc_scores_categories_Parenth;False;False;0.8988409690579763;False;;;False;;False;;False;
liwc_scores_categories_Period;False;False;0.027726582186024893;True;;;False;;True;-0.27;False;
liwc_scores_categories_QMark;False;False;0.9486485593303315;False;;;False;;False;;False;
liwc_scores_categories_SemiC;False;False;0.4826632295756943;False;;;False;;False;;False;
liwc_scores_categories_achieve;False;False;0.7595983238866596;False;;;False;;False;;False;
liwc_scores_categories_adj;True;True;0.06595889890379751;False;;F(2,218)= 2.75, p = 0.0659589, ω2 = 0.02;False;;False;;False;
liwc_scores_categories_adverb;True;True;0.9407553205513766;False;;F(2,218)= 0.06, p = 0.9407553, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_affect;True;True;0.5571659071389761;False;;F(2,218)= 0.59, p = 0.5571659, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_affiliation;False;False;0.9386020470454384;False;;;False;;False;;False;
liwc_scores_categories_anger;False;False;0.7850474996306286;False;;;False;;False;;False;
liwc_scores_categories_anx;False;False;0.28701100051876716;False;;;False;;False;;False;
liwc_scores_categories_article;False;False;0.05481525586362899;False;;;False;;False;;False;
liwc_scores_categories_assent;False;False;0.4813586785722367;False;;;False;;False;;False;
liwc_scores_categories_auxverb;True;True;0.7427935542517903;False;;F(2,218)= 0.30, p = 0.7427936, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_bio;False;False;0.9530921421198135;False;;;False;;False;;False;
liwc_scores_categories_body;False;False;0.5365848251800226;False;;;False;;False;;False;
liwc_scores_categories_cause;False;False;0.04698207421732202;True;;;False;;False;;True;0.18
liwc_scores_categories_certain;True;False;0.9057564336509732;False;;;False;;False;;False;
liwc_scores_categories_cogproc;True;True;0.5001777124113229;False;;F(2,218)= 0.69, p = 0.5001777, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_compare;False;False;0.01604321192952762;True;;;False;;True;0.28;True;0.2
liwc_scores_categories_conj;True;True;0.34049142905418694;False;;F(2,218)= 1.08, p = 0.3404914, ω2 = 0.00;False;;False;;False;
liwc_scores_categories_death;False;False;0.22362970684519357;False;;;False;;False;;False;
liwc_scores_categories_differ;False;False;0.49076304948876337;False;;;False;;False;;False;
liwc_scores_categories_discrep;False;False;0.15602113039566806;False;;;False;;False;;False;
liwc_scores_categories_drives;False;False;0.004026957563332846;True;;;False;;True;0.33;True;0.22
liwc_scores_categories_family;False;False;0.7785083783176803;False;;;False;;False;;False;
liwc_scores_categories_feel;False;False;0.6270596199756249;False;;;False;;False;;False;
liwc_scores_categories_female;False;False;0.6937849165167574;False;;;False;;False;;False;
liwc_scores_categories_filler;False;False;0.980175174690433;False;;;False;;False;;False;
liwc_scores_categories_focusfuture;False;False;0.39688754862701214;False;;;False;;False;;False;
liwc_scores_categories_focuspast;False;False;0.40859652597489593;False;;;False;;False;;False;
liwc_scores_categories_focuspresent;True;True;0.10191397369863921;False;;F(2,218)= 2.31, p = 0.1019140, ω2 = 0.01;False;;False;;False;
liwc_scores_categories_friend;False;False;0.21240900754231573;False;;;False;;False;;False;
liwc_scores_categories_function;False;False;0.21257563135937035;False;;;False;;False;;False;
liwc_scores_categories_health;False;False;0.994811006547563;False;;;False;;False;;False;
liwc_scores_categories_hear;False;False;0.33219043142903415;False;;;False;;False;;False;
liwc_scores_categories_home;False;False;0.06768814622910034;False;;;False;;False;;False;
liwc_scores_categories_i;False;False;0.7739275518860573;False;;;False;;False;;False;
liwc_scores_categories_informal;False;False;0.4675379357714098;False;;;False;;False;;False;
liwc_scores_categories_ingest;False;False;0.2036054187163416;False;;;False;;False;;False;
liwc_scores_categories_insight;False;False;0.34692930145553164;False;;;False;;False;;False;
liwc_scores_categories_interrog;False;False;0.16248089792983794;False;;;False;;False;;False;
liwc_scores_categories_ipron;True;True;0.463546437538921;False;;F(2,218)= 0.77, p = 0.4635464, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_leisure;False;False;0.75044476296469;False;;;False;;False;;False;
liwc_scores_categories_male;False;False;0.010012505858919992;True;;;False;;True;-0.28;True;-0.21
liwc_scores_categories_money;False;False;0.7250763600178692;False;;;False;;False;;False;
liwc_scores_categories_motion;False;False;0.6282883095096605;False;;;False;;False;;False;
liwc_scores_categories_negate;False;False;0.49904840206944123;False;;;False;;False;;False;
liwc_scores_categories_negemo;False;False;0.15237819928249022;False;;;False;;False;;False;
