sep=;
feature;is_normal (shapiro);is_homogeneous (levene);p_value;is_significant;effect;result;('challenging', 'no_effect');('challenging', 'no_effect');('challenging', 'reinforcing');('challenging', 'reinforcing');('no_effect', 'reinforcing');('no_effect', 'reinforcing')
liwc_scores_analytic;False;False;0.6609782365882968;False;;;False;;False;;False;
liwc_scores_authentic;False;False;0.0798713877319631;False;;;False;;False;;False;
liwc_scores_categories_AllPunc;False;False;0.580039053882786;False;;;False;;False;;False;
liwc_scores_categories_Apostro;False;False;0.3250970323602553;False;;;False;;False;;False;
liwc_scores_categories_Colon;False;False;0.2573396164729632;False;;;False;;False;;False;
liwc_scores_categories_Comma;True;True;0.8962141438718884;False;;F(2,218)= 0.11, p = 0.8962141, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_Dash;False;False;0.3213608200069438;False;;;False;;False;;False;
liwc_scores_categories_Exclam;False;False;0.7745584510982639;False;;;False;;False;;False;
liwc_scores_categories_OtherP;False;False;0.07276679413033732;False;;;False;;False;;False;
liwc_scores_categories_Parenth;False;False;0.7921654431976604;False;;;False;;False;;False;
liwc_scores_categories_Period;False;False;0.28186972949391814;False;;;False;;False;;False;
liwc_scores_categories_QMark;False;False;0.01887821799247886;True;;;False;;False;;True;-0.13
liwc_scores_categories_SemiC;False;False;0.05963730726425565;False;;;False;;False;;False;
liwc_scores_categories_achieve;False;False;0.3260121232627643;False;;;False;;False;;False;
liwc_scores_categories_adj;True;True;0.05412959093995887;False;;F(2,218)= 2.96, p = 0.0541296, ω2 = 0.02;False;;False;;False;
liwc_scores_categories_adverb;True;True;0.43517795103652523;False;;F(2,218)= 0.84, p = 0.4351780, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_affect;True;True;0.5243944643623296;False;;F(2,218)= 0.65, p = 0.5243945, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_affiliation;False;False;0.0035541795096546945;True;;;False;;False;;True;-0.22
liwc_scores_categories_anger;False;False;0.6246905775419035;False;;;False;;False;;False;
liwc_scores_categories_anx;False;False;0.1652992950347685;False;;;False;;False;;False;
liwc_scores_categories_article;True;True;0.18625012200144722;False;;F(2,218)= 1.69, p = 0.1862501, ω2 = 0.01;False;;False;;False;
liwc_scores_categories_assent;False;False;0.505908276644866;False;;;False;;False;;False;
liwc_scores_categories_auxverb;True;True;0.7323932162472604;False;;F(2,218)= 0.31, p = 0.7323932, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_bio;False;False;0.5133273102169468;False;;;False;;False;;False;
liwc_scores_categories_body;False;False;0.723843463289314;False;;;False;;False;;False;
liwc_scores_categories_cause;True;True;0.5292507713950046;False;;F(2,218)= 0.64, p = 0.5292508, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_certain;True;False;0.19567997921914473;False;;;False;;False;;False;
liwc_scores_categories_cogproc;False;False;0.44690052806547576;False;;;False;;False;;False;
liwc_scores_categories_compare;False;False;0.11470068908875375;False;;;False;;False;;False;
liwc_scores_categories_conj;True;False;0.036789004973816236;True;;;False;;False;;True;0.18
liwc_scores_categories_death;False;False;0.00795180545645362;True;;;False;;False;;True;-0.17
liwc_scores_categories_differ;False;False;0.40072001329944124;False;;;False;;False;;False;
liwc_scores_categories_discrep;False;False;0.6155553662548867;False;;;False;;False;;False;
liwc_scores_categories_drives;False;False;0.05126975657072184;False;;;True;0.2;False;;False;
liwc_scores_categories_family;False;False;0.5748984385563665;False;;;False;;False;;False;
liwc_scores_categories_feel;False;False;0.9870399035978932;False;;;False;;False;;False;
liwc_scores_categories_female;False;False;0.8884938131726179;False;;;False;;False;;False;
liwc_scores_categories_filler;False;False;0.595737599039339;False;;;False;;False;;False;
liwc_scores_categories_focusfuture;False;False;0.5281120841863589;False;;;False;;False;;False;
liwc_scores_categories_focuspast;False;False;0.25733132481718585;False;;;False;;False;;False;
liwc_scores_categories_focuspresent;True;True;0.9979690957183865;False;;F(2,218)= 0.00, p = 0.9979691, ω2 = -0.01;False;;False;;False;
liwc_scores_categories_friend;False;False;0.6102003791400759;False;;;False;;False;;False;
liwc_scores_categories_function;True;True;0.4984928635510749;False;;F(2,218)= 0.70, p = 0.4984929, ω2 = -0.00;False;;False;;False;
liwc_scores_categories_health;False;False;0.4427414703457194;False;;;False;;False;;False;
