,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
5,0.42,0.46,0.46,0.33,0.34,0.58,"{'C': 1, 'class_weight': 'balanced'}","('lemma',)",neuroticism_average_majority
40,0.41,0.45,0.45,0.31,0.36,0.57,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",neuroticism_average_majority
46,0.4,0.48,0.48,0.32,0.27,0.62,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu', 'lemma')",neuroticism_average_majority
36,0.4,0.47,0.47,0.28,0.32,0.61,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",neuroticism_average_majority
45,0.39,0.45,0.45,0.29,0.29,0.58,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",neuroticism_average_majority
19,0.39,0.41,0.41,0.34,0.33,0.5,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",neuroticism_average_majority
59,0.39,0.47,0.47,0.25,0.29,0.62,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",neuroticism_average_majority
10,0.39,0.47,0.47,0.25,0.31,0.6,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'lemma')",neuroticism_average_majority
50,0.38,0.42,0.42,0.23,0.35,0.55,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",neuroticism_average_majority
29,0.38,0.42,0.42,0.26,0.35,0.53,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",neuroticism_average_majority
58,0.37,0.46,0.46,0.21,0.3,0.61,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",neuroticism_average_majority
14,0.37,0.41,0.41,0.33,0.23,0.55,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'lemma')",neuroticism_average_majority
57,0.36,0.44,0.44,0.14,0.32,0.6,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",neuroticism_average_majority
35,0.36,0.39,0.39,0.32,0.25,0.5,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",neuroticism_average_majority
20,0.36,0.44,0.44,0.24,0.27,0.59,"{'C': 100, 'class_weight': 'balanced'}","('adu', 'lemma')",neuroticism_average_majority
43,0.36,0.46,0.46,0.18,0.25,0.64,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'lemma')",neuroticism_average_majority
60,0.35,0.45,0.45,0.15,0.31,0.6,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",neuroticism_average_majority
33,0.35,0.45,0.45,0.19,0.27,0.6,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'lemma')",neuroticism_average_majority
17,0.35,0.44,0.44,0.17,0.28,0.6,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",neuroticism_average_majority
53,0.35,0.44,0.44,0.23,0.24,0.59,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",neuroticism_average_majority
3,0.35,0.38,0.38,0.3,0.26,0.49,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg',)",neuroticism_average_majority
30,0.35,0.4,0.4,0.19,0.33,0.54,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",neuroticism_average_majority
23,0.35,0.39,0.39,0.24,0.3,0.5,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu')",neuroticism_average_majority
39,0.34,0.41,0.41,0.17,0.3,0.56,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",neuroticism_average_majority
49,0.34,0.39,0.39,0.17,0.32,0.53,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",neuroticism_average_majority
44,0.34,0.39,0.39,0.24,0.27,0.52,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",neuroticism_average_majority
15,0.34,0.38,0.38,0.23,0.29,0.51,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg')",neuroticism_average_majority
55,0.34,0.43,0.43,0.14,0.3,0.57,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",neuroticism_average_majority
48,0.33,0.44,0.44,0.16,0.25,0.59,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",neuroticism_average_majority
61,0.33,0.42,0.42,0.2,0.23,0.57,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",neuroticism_average_majority
9,0.33,0.38,0.38,0.26,0.21,0.52,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu')",neuroticism_average_majority
62,0.33,0.43,0.43,0.18,0.23,0.6,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",neuroticism_average_majority
28,0.33,0.41,0.41,0.22,0.21,0.57,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",neuroticism_average_majority
27,0.32,0.39,0.39,0.16,0.27,0.54,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",neuroticism_average_majority
13,0.32,0.38,0.38,0.21,0.21,0.54,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'adu')",neuroticism_average_majority
52,0.32,0.41,0.41,0.15,0.23,0.57,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",neuroticism_average_majority
38,0.32,0.4,0.4,0.17,0.22,0.55,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",neuroticism_average_majority
26,0.32,0.36,0.36,0.18,0.31,0.47,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",neuroticism_average_majority
54,0.31,0.38,0.38,0.2,0.17,0.56,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",neuroticism_average_majority
24,0.31,0.34,0.34,0.26,0.21,0.46,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",neuroticism_average_majority
47,0.3,0.36,0.36,0.14,0.24,0.51,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",neuroticism_average_majority
34,0.3,0.36,0.36,0.21,0.17,0.53,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu')",neuroticism_average_majority
56,0.3,0.33,0.33,0.19,0.24,0.46,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",neuroticism_average_majority
41,0.29,0.33,0.33,0.18,0.25,0.46,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",neuroticism_average_majority
42,0.29,0.33,0.33,0.17,0.24,0.47,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",neuroticism_average_majority
0,0.28,0.32,0.32,0.16,0.21,0.46,"{'C': 10, 'class_weight': 'balanced'}","('liwc',)",neuroticism_average_majority
21,0.28,0.3,0.3,0.17,0.26,0.4,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",neuroticism_average_majority
18,0.28,0.38,0.38,0.19,0.11,0.55,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu')",neuroticism_average_majority
32,0.28,0.33,0.33,0.16,0.17,0.5,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu')",neuroticism_average_majority
11,0.27,0.31,0.31,0.21,0.16,0.45,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",neuroticism_average_majority
4,0.27,0.38,0.38,0.22,0.04,0.55,"{'C': 10, 'class_weight': 'balanced'}","('adu',)",neuroticism_average_majority
6,0.27,0.29,0.29,0.24,0.2,0.37,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc')",neuroticism_average_majority
7,0.27,0.3,0.3,0.14,0.29,0.38,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg')",neuroticism_average_majority
8,0.27,0.35,0.35,0.14,0.15,0.52,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg')",neuroticism_average_majority
37,0.26,0.3,0.3,0.15,0.22,0.42,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu')",neuroticism_average_majority
16,0.26,0.32,0.32,0.1,0.23,0.45,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'adu')",neuroticism_average_majority
22,0.25,0.27,0.27,0.22,0.19,0.35,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg')",neuroticism_average_majority
12,0.24,0.28,0.28,0.16,0.12,0.43,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg')",neuroticism_average_majority
51,0.24,0.31,0.31,0.08,0.17,0.48,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",neuroticism_average_majority
