,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
38,0.43,0.51,0.51,0.17,0.56,0.58,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",conscientiousness_average_majority
27,0.42,0.49,0.49,0.17,0.55,0.53,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",conscientiousness_average_majority
39,0.41,0.48,0.48,0.15,0.5,0.58,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",conscientiousness_average_majority
55,0.4,0.47,0.47,0.16,0.45,0.59,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_average_majority
5,0.39,0.46,0.46,0.15,0.48,0.53,"{'C': 1, 'class_weight': 'balanced'}","('lemma',)",conscientiousness_average_majority
30,0.39,0.43,0.43,0.23,0.43,0.52,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",conscientiousness_average_majority
17,0.38,0.43,0.43,0.23,0.43,0.49,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",conscientiousness_average_majority
19,0.38,0.46,0.46,0.17,0.43,0.56,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",conscientiousness_average_majority
60,0.37,0.43,0.43,0.15,0.43,0.53,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_average_majority
49,0.37,0.42,0.42,0.14,0.43,0.53,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",conscientiousness_average_majority
29,0.37,0.41,0.41,0.19,0.46,0.46,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",conscientiousness_average_majority
10,0.37,0.41,0.41,0.2,0.46,0.46,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'lemma')",conscientiousness_average_majority
33,0.36,0.42,0.42,0.11,0.52,0.46,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'lemma')",conscientiousness_average_majority
62,0.36,0.41,0.41,0.1,0.48,0.51,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_average_majority
8,0.36,0.39,0.39,0.14,0.48,0.47,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg')",conscientiousness_average_majority
50,0.36,0.39,0.39,0.22,0.42,0.43,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_average_majority
48,0.35,0.41,0.41,0.11,0.43,0.52,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",conscientiousness_average_majority
44,0.35,0.39,0.39,0.12,0.5,0.43,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",conscientiousness_average_majority
0,0.35,0.38,0.38,0.14,0.46,0.45,"{'C': 10, 'class_weight': 'balanced'}","('liwc',)",conscientiousness_average_majority
1,0.34,0.38,0.38,0.14,0.41,0.46,"{'C': 100, 'class_weight': 'balanced'}","('nrc',)",conscientiousness_average_majority
57,0.34,0.39,0.39,0.1,0.47,0.44,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",conscientiousness_average_majority
40,0.33,0.36,0.36,0.2,0.33,0.45,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",conscientiousness_average_majority
11,0.33,0.39,0.39,0.07,0.46,0.47,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",conscientiousness_average_majority
61,0.33,0.38,0.38,0.1,0.42,0.45,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",conscientiousness_average_majority
24,0.33,0.39,0.39,0.07,0.5,0.41,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",conscientiousness_average_majority
45,0.33,0.38,0.38,0.12,0.45,0.42,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",conscientiousness_average_majority
6,0.33,0.36,0.36,0.11,0.46,0.41,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc')",conscientiousness_average_majority
43,0.32,0.34,0.34,0.1,0.5,0.36,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'lemma')",conscientiousness_average_majority
51,0.32,0.36,0.36,0.1,0.4,0.45,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",conscientiousness_average_majority
14,0.32,0.38,0.38,0.12,0.45,0.4,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'lemma')",conscientiousness_average_majority
