,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
55,0.37,0.42,0.42,0.27,0.33,0.53,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",agreeableness_high_majority
48,0.35,0.41,0.41,0.2,0.31,0.53,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",agreeableness_high_majority
62,0.34,0.43,0.43,0.24,0.22,0.57,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",agreeableness_high_majority
33,0.34,0.4,0.4,0.19,0.31,0.51,"{'C': 1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'lemma')",agreeableness_high_majority
58,0.33,0.42,0.42,0.23,0.22,0.56,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",agreeableness_high_majority
29,0.33,0.4,0.4,0.16,0.31,0.53,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",agreeableness_high_majority
19,0.33,0.39,0.39,0.2,0.3,0.51,"{'C': 1, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",agreeableness_high_majority
20,0.33,0.37,0.37,0.24,0.29,0.47,"{'C': 1, 'class_weight': 'balanced'}","('adu', 'lemma')",agreeableness_high_majority
21,0.32,0.35,0.35,0.18,0.34,0.43,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",agreeableness_high_majority
5,0.32,0.37,0.37,0.19,0.31,0.46,"{'C': 1, 'class_weight': 'balanced'}","('lemma',)",agreeableness_high_majority
13,0.32,0.37,0.37,0.17,0.34,0.47,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'adu')",agreeableness_high_majority
45,0.32,0.38,0.38,0.21,0.26,0.49,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",agreeableness_high_majority
27,0.32,0.41,0.41,0.23,0.17,0.55,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",agreeableness_high_majority
