,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
22,0.37,0.43,0.43,0.35,0.19,0.56,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg')",extreme_majority
37,0.36,0.38,0.38,0.35,0.27,0.46,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu')",extreme_majority
29,0.36,0.43,0.43,0.3,0.24,0.55,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'lemma')",extreme_majority
27,0.36,0.44,0.44,0.3,0.18,0.58,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'lemma')",extreme_majority
6,0.36,0.42,0.42,0.36,0.18,0.54,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc')",extreme_majority
23,0.36,0.41,0.41,0.33,0.24,0.52,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'adu')",extreme_majority
16,0.35,0.37,0.37,0.38,0.24,0.43,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'adu')",extreme_majority
28,0.35,0.4,0.4,0.33,0.19,0.52,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",extreme_majority
42,0.35,0.4,0.4,0.34,0.21,0.52,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",extreme_majority
44,0.35,0.39,0.39,0.32,0.24,0.49,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu')",extreme_majority
21,0.35,0.39,0.39,0.32,0.22,0.5,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",extreme_majority
48,0.35,0.42,0.42,0.28,0.2,0.56,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",extreme_majority
11,0.35,0.36,0.36,0.34,0.29,0.4,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",extreme_majority
31,0.34,0.36,0.36,0.32,0.27,0.43,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg')",extreme_majority
5,0.34,0.42,0.42,0.31,0.17,0.55,"{'C': 10, 'class_weight': 'balanced'}","('lemma',)",extreme_majority
51,0.34,0.37,0.37,0.27,0.29,0.46,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",extreme_majority
40,0.34,0.41,0.41,0.28,0.21,0.54,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",extreme_majority
19,0.34,0.41,0.41,0.29,0.19,0.54,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_subjobg', 'lemma')",extreme_majority
41,0.34,0.37,0.37,0.32,0.2,0.48,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",extreme_majority
56,0.34,0.38,0.38,0.34,0.21,0.49,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",extreme_majority
32,0.33,0.36,0.36,0.28,0.27,0.45,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu')",extreme_majority
1,0.33,0.34,0.34,0.29,0.3,0.38,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc',)",extreme_majority
2,0.33,0.34,0.34,0.35,0.3,0.35,"{'C': 0.01, 'class_weight': 'balanced'}","('mpqa_arg',)",extreme_majority
54,0.33,0.4,0.4,0.28,0.19,0.53,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",extreme_majority
53,0.33,0.42,0.42,0.32,0.11,0.55,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",extreme_majority
20,0.33,0.38,0.38,0.25,0.21,0.51,"{'C': 1, 'class_weight': 'balanced'}","('adu', 'lemma')",extreme_majority
47,0.33,0.36,0.36,0.31,0.2,0.47,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",extreme_majority
36,0.33,0.37,0.37,0.26,0.25,0.48,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'adu', 'lemma')",extreme_majority
50,0.33,0.4,0.4,0.3,0.15,0.53,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu', 'lemma')",extreme_majority
57,0.33,0.39,0.39,0.3,0.16,0.52,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",extreme_majority
45,0.32,0.39,0.39,0.31,0.16,0.5,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'lemma')",extreme_majority
58,0.32,0.4,0.4,0.3,0.11,0.55,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",extreme_majority
59,0.32,0.39,0.39,0.29,0.16,0.51,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_subjobg', 'adu', 'lemma')",extreme_majority
61,0.32,0.38,0.38,0.31,0.14,0.51,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extreme_majority
55,0.32,0.39,0.39,0.29,0.14,0.52,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extreme_majority
0,0.32,0.36,0.36,0.34,0.19,0.44,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc',)",extreme_majority
35,0.32,0.35,0.35,0.24,0.26,0.45,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",extreme_majority
26,0.32,0.37,0.37,0.29,0.18,0.49,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",extreme_majority
4,0.32,0.36,0.36,0.34,0.18,0.45,"{'C': 100, 'class_weight': 'balanced'}","('adu',)",extreme_majority
13,0.32,0.33,0.33,0.31,0.26,0.38,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'adu')",extreme_majority
17,0.32,0.4,0.4,0.31,0.11,0.53,"{'C': 10, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",extreme_majority
62,0.32,0.4,0.4,0.31,0.12,0.53,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extreme_majority
30,0.32,0.42,0.42,0.29,0.13,0.56,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",extreme_majority
15,0.31,0.32,0.32,0.34,0.26,0.34,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg')",extreme_majority
7,0.31,0.34,0.34,0.29,0.19,0.45,"{'C': 0.01, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg')",extreme_majority
