,macro,micro,accuracy,challenging,no_effect,reinforcing,params,features,ideology
31,0.37,0.39,0.39,0.36,0.3,0.45,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg')",extreme_majority
61,0.37,0.4,0.4,0.34,0.28,0.48,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extreme_majority
42,0.36,0.4,0.4,0.32,0.26,0.5,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu')",extreme_majority
21,0.36,0.38,0.38,0.33,0.3,0.46,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg')",extreme_majority
41,0.36,0.38,0.38,0.38,0.26,0.43,"{'C': 1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg')",extreme_majority
40,0.36,0.41,0.41,0.28,0.27,0.53,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_subjobg', 'adu', 'lemma')",extreme_majority
55,0.36,0.4,0.4,0.35,0.21,0.51,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extreme_majority
51,0.35,0.37,0.37,0.33,0.31,0.42,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",extreme_majority
37,0.35,0.36,0.36,0.32,0.31,0.41,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'adu')",extreme_majority
32,0.35,0.37,0.37,0.36,0.27,0.43,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu')",extreme_majority
20,0.35,0.39,0.39,0.28,0.25,0.51,"{'C': 100, 'class_weight': 'balanced'}","('adu', 'lemma')",extreme_majority
17,0.34,0.4,0.4,0.34,0.16,0.53,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'lemma')",extreme_majority
39,0.34,0.4,0.4,0.33,0.16,0.53,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'adu', 'lemma')",extreme_majority
38,0.34,0.38,0.38,0.35,0.18,0.48,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'mpqa_subjobg', 'lemma')",extreme_majority
30,0.34,0.4,0.4,0.25,0.25,0.53,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'adu', 'lemma')",extreme_majority
28,0.34,0.4,0.4,0.25,0.23,0.53,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_subjobg', 'adu')",extreme_majority
56,0.34,0.36,0.36,0.34,0.26,0.43,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",extreme_majority
62,0.34,0.37,0.37,0.33,0.21,0.48,"{'C': 0.1, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'adu', 'lemma')",extreme_majority
16,0.34,0.36,0.36,0.34,0.25,0.42,"{'C': 100, 'class_weight': 'balanced'}","('mpqa_arg', 'adu')",extreme_majority
2,0.34,0.34,0.34,0.35,0.32,0.35,"{'C': 0.1, 'class_weight': 'balanced'}","('mpqa_arg',)",extreme_majority
11,0.34,0.36,0.36,0.35,0.27,0.4,"{'C': 10, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg')",extreme_majority
53,0.33,0.38,0.38,0.28,0.2,0.51,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'adu', 'lemma')",extreme_majority
4,0.33,0.4,0.4,0.29,0.16,0.54,"{'C': 10, 'class_weight': 'balanced'}","('adu',)",extreme_majority
49,0.33,0.38,0.38,0.27,0.21,0.5,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu', 'lemma')",extreme_majority
34,0.33,0.35,0.35,0.29,0.29,0.41,"{'C': 0.1, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu')",extreme_majority
1,0.33,0.34,0.34,0.27,0.33,0.38,"{'C': 10, 'class_weight': 'balanced'}","('nrc',)",extreme_majority
52,0.33,0.38,0.38,0.31,0.16,0.51,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",extreme_majority
47,0.33,0.37,0.37,0.25,0.28,0.47,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'mpqa_subjobg', 'adu')",extreme_majority
58,0.33,0.4,0.4,0.27,0.16,0.55,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'adu', 'lemma')",extreme_majority
54,0.32,0.36,0.36,0.27,0.22,0.46,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'adu', 'lemma')",extreme_majority
6,0.32,0.35,0.35,0.29,0.25,0.43,"{'C': 10, 'class_weight': 'balanced'}","('liwc', 'nrc')",extreme_majority
26,0.32,0.35,0.35,0.24,0.26,0.46,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'mpqa_arg', 'adu')",extreme_majority
57,0.32,0.38,0.38,0.29,0.18,0.5,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'mpqa_arg', 'mpqa_subjobg', 'lemma')",extreme_majority
33,0.32,0.37,0.37,0.32,0.16,0.49,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_arg', 'lemma')",extreme_majority
24,0.32,0.36,0.36,0.29,0.18,0.48,"{'C': 100, 'class_weight': 'balanced'}","('liwc', 'nrc', 'lemma')",extreme_majority
35,0.32,0.36,0.36,0.29,0.24,0.44,"{'C': 100, 'class_weight': 'balanced'}","('nrc', 'mpqa_subjobg', 'lemma')",extreme_majority
